Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
486,73.81226342135342,0,0,215
487,73.81836792029644,0,0,216
488,73.813198545852,0,0,216
489,73.81092866448462,0,0,216
490,73.8099396408233,0,0,213
491,73.827552177369,0,0,216
492,73.81679486075622,0,0,216
493,73.8125076889876,0,0,216
494,73.81066253749646,0,0,214
495,73.82545192513956,0,0,211
496,73.84992660726203,0,0,205
497,73.87509352494548,0,0,211
498,73.86508694657232,0,0,209
499,73.86651974684193,0,0,211
500,73.851271884362,0,0,212
501,73.85287552926255,0,0,215
502,73.83064365142246,0,0,215
503,73.82637727380111,0,0,216
504,73.81680482493663,0,0,215
505,73.82042099193062,0,0,214
506,73.82340886286399,0,0,215
507,73.82299911516463,0,0,216
508,73.81522831845626,0,0,215
509,73.81968307093705,0,0,215
510,73.82160114319574,0,0,216
511,73.81463805372523,0,0,216
512,73.81161406050232,0,0,215
513,73.81807947482503,0,0,216
514,73.81306909169056,0,0,216
515,73.81087002985663,0,0,216
516,73.80991286829027,0,0,213
517,73.82753986684118,0,0,216
518,73.81678916531828,0,0,216
519,73.8125050398272,0,0,216
520,73.81066129944679,0,0,214
521,73.82545134413724,0,0,211
522,73.8499263335933,0,0,206
523,73.87802007934239,0,0,211
524,73.87208348856085,0,0,209
525,73.87516353329288,0,0,214
526,73.84796300658584,0,0,213
527,73.84960883230714,0,0,215
528,73.82947864562422,0,0,215
529,73.8259001030427,0,0,216
530,73.81660030941751,0,0,215
531,73.82033089607063,0,0,214
532,73.82336840568054,0,0,215
533,73.82298069192066,0,0,216
534,73.81521983945714,0,0,215
535,73.81967913610171,0,0,215
536,73.82159930495027,0,0,215
537,73.82244168017654,0,0,215
538,73.81745177733478,0,0,214
539,73.82291326395797,0,0,216
540,73.81501276878889,0,0,216
541,73.81172465397857,0,0,216
542,73.81029913437843,0,0,213
543,73.82771730438421,0,0,215
544,73.81931049339741,0,0,216
545,73.813427745875,0,0,216
546,73.81105342658977,0,0,214
547,73.82562498650924,0,0,211
548,73.85000503346329,0,0,206
549,73.8726907332013,0,0,212
550,73.86178076216345,0,0,210
551,73.86283071225313,0,0,213
552,73.8449747571606,0,0,213
553,73.84805664058668,0,0,213
554,73.83264101998618,0,0,215
555,73.826829497097,0,0,216
556,73.81694486515107,0,0,215
557,73.82047013504942,0,0,214
558,73.82342676875061,0,0,215
559,73.82300576377658,0,0,216
560,73.81523079842404,0,0,215
561,73.8196839882253,0,0,215
562,73.82160147438294,0,0,216
563,73.81463816767511,0,0,216
564,73.81161409613179,0,0,215
565,73.81807948367909,0,0,215
566,73.81550799541745,0,0,216
567,73.81175413090858,0,0,216
568,73.81026917542192,0,0,214
569,73.82525184605319,0,0,216
570,73.81616875549827,0,0,216
571,73.81227156513155,0,0,216
572,73.81056689034551,0,0,214
573,73.82541175379515,0,0,209
574,73.86015271904702,0,0,204
575,73.88717376581927,0,0,212
576,73.86756297203044,0,0,210
577,73.86524923994146,0,0,214
578,73.84358132449789,0,0,213
579,73.8476357182725,0,0,215
580,73.82857382683655,0,0,215
581,73.82547965358818,0,0,215
582,73.82420751576163,0,0,214
583,73.83144135710948,0,0,213
584,73.83603876734362,0,0,215
585,73.82855545862144,0,0,216
586,73.81772237921538,0,0,214
587,73.82326210745799,0,0,215
588,73.82301346973183,0,0,216
589,73.81525917374836,0,0,216
590,73.81189565434951,0,0,215
591,73.81820938575248,0,0,216
592,73.81312975041273,0,0,216
593,73.8108986041185,0,0,216
594,73.80992641984237,0,0,214
595,73.825107425029,0,0,216
596,73.81610631787882,0,0,216
597,73.81224405887365,0,0,216
598,73.810554599665,0,0,213
599,73.83321069014349,0,0,211
600,73.85294017949406,0,0,207
601,73.87141023848288,0,0,211
602,73.81838519567096,0,0,208
603,73.75550344828784,0,0,212
604,73.65802825187714,0,0,212
605,73.57717837516415,0,0,215
606,73.46893869122192,0,0,215
607,73.37701187796365,0,0,216
608,73.2789527782407,0,0,215
609,73.19360808208894,0,0,213
610,73.10977607494219,0,0,215
611,73.01834171194358,0,0,216
612,72.92042268547296,0,0,215
613,72.83488319849063,0,0,215
614,72.74678843675058,0,0,216
615,72.64973039709064,0,0,216
616,72.55650342741372,0,0,215
617,72.47264665110322,0,0,216
618,72.37718976947919,0,0,216
619,72.28441742394013,0,0,216
620,72.19275886836058,0,0,213
621,72.11955555426019,0,0,216
622,72.01784504776502,0,0,216
623,71.92247115858036,0,0,215
624,71.8372117683592,0,0,214
625,71.75624563316478,0,0,211
626,71.69271589673149,0,0,205
627,71.62259363983424,0,0,210
628,71.52153266788588,0,0,211
629,71.41850440812861,0,0,211
630,71.31633857308242,0,0,212
